date,receipt,change
2025-06-03,405596,-3537.0
2025-06-04,404690,-906.0
2025-06-05,401990,-2700.0
2025-06-06,391340,-10650.0
2025-06-09,370736,-20604.0
2025-06-10,365387,-5349.0
2025-06-11,358313,-7074.0
2025-06-12,337013,-21300.0
2025-06-13,326201,-10812.0
2025-06-16,300329,-25872.0
2025-06-17,294902,-5427.0
2025-06-18,278909,-15993.0
2025-06-19,230078,-48831.0
2025-06-20,228329,-1749.0
2025-06-23,223004,-5325.0
2025-06-24,219464,-3540.0
2025-06-25,213272,-6192.0
2025-06-26,207935,-5337.0
2025-06-27,202598,-5337.0
2025-06-30,199022,-3576.0
2025-07-01,197264,-1758.0
2025-07-02,194627,-2637.0
2025-07-03,194627,0.0
2025-07-04,190154,-4473.0
2025-07-07,190154,0.0
2025-07-08,190154,0.0
2025-07-09,190154,0.0
2025-07-10,190154,0.0
2025-07-11,190154,0.0
2025-07-14,190154,0.0
2025-07-15,190154,0.0
2025-07-16,183896,-6258.0
2025-07-17,183896,0.0
2025-07-18,178634,-5262.0
2025-07-21,177755,-879.0
2025-07-22,175647,-2108.0
2025-07-23,174156,-1491.0
2025-07-24,173268,-888.0
2025-07-25,172389,-879.0
2025-07-28,58362,
2025-07-29,57772,
2025-07-30,57772,0.0
2025-07-31,57772,0.0
2025-08-01,57174,-598.0
2025-08-04,55998,
2025-08-05,55998,0.0
2025-08-06,70915,
2025-08-07,70915,0.0
2025-08-08,70915,0.0
2025-08-11,69461,-1454.0
2025-08-12,78386,8925.0
2025-08-13,78386,0.0
2025-08-14,78386,0.0
2025-08-15,78386,0.0
2025-08-18,78386,0.0
2025-08-19,79266,880.0
2025-08-20,39661,-39605.0
2025-08-21,33992,-5669.0
2025-08-22,32215,-1777.0
2025-08-25,26849,-5366.0
2025-08-26,25955,-894.0
2025-08-27,25356,-599.0
2025-08-28,24760,-596.0
2025-08-29,24760,0.0
2025-09-01,24760,0.0
2025-09-02,24760,0.0
2025-09-03,24760,0.0
2025-09-04,24459,-301.0
2025-09-05,24459,0.0
2025-09-08,24459,0.0
2025-09-09,24459,0.0
2025-09-10,24459,0.0
2025-09-11,58841,34382.0
2025-09-12,58841,0.0
2025-09-15,58841,0.0
2025-09-16,58841,0.0
2025-09-17,58841,0.0
2025-09-18,44949,-13892.0
2025-09-19,37228,-7721.0
2025-09-22,36331,-897.0
2025-09-23,34851,-1480.0
2025-09-24,34559,-292.0
2025-09-25,29204,-5355.0
2025-09-26,28314,-890.0
2025-09-29,28314,0.0
2025-09-30,28314,0.0
2025-10-09,28314,0.0
2025-10-10,28314,0.0
2025-10-13,30372,2058.0
2025-10-14,29778,-594.0
2025-10-15,69691,39913.0
2025-10-16,121105,51414.0
2025-10-17,118411,-2694.0
2025-10-20,116032,-2379.0
2025-10-21,113657,-2375.0
2025-10-22,112761,-896.0
2025-10-23,111864,-897.0
2025-10-24,107065,-4799.0
2025-10-27,104667,-2398.0
2025-10-28,101371,-3296.0
2025-10-29,104773,3402.0
2025-10-30,98835,-5938.0
2025-10-31,98537,-298.0
2025-11-03,98537,0.0
2025-11-04,100301,1764.0
2025-11-05,100301,0.0
2025-11-06,99412,-889.0
2025-11-07,97922,-1490.0
2025-11-10,97028,-894.0
2025-11-11,97028,0.0
2025-11-12,95543,-1485.0
2025-11-13,107606,12063.0
2025-11-14,114083,6477.0
2026-01-28,178826,
2026-01-29,187668,8842.0
2026-01-30,190323,2655.0
2026-02-02,199447,9124.0
2026-02-03,199447,0.0
2026-02-04,199447,0.0
2026-02-05,199447,0.0
2026-02-06,220579,21132.0
2026-02-09,243776,23197.0
2026-02-10,253200,9424.0
2026-02-11,276419,23219.0
2026-02-12,297854,21435.0
2026-02-13,332840,34986.0
2026-02-24,335180,2340.0
2026-02-25,349005,13825.0
2026-02-26,350770,1765.0
2026-02-27,352247,1477.0
2026-03-02,428388,76141.0
2026-03-03,432798,4410.0
2026-03-04,443394,10596.0
2026-03-05,472215,28821.0
2026-03-06,472215,0.0
2026-03-09,478116,5901.0
2026-03-10,477232,-884.0
2026-03-11,477232,0.0
2026-03-12,474583,-2649.0
2026-03-13,474583,0.0
2026-03-16,474583,0.0
2026-03-17,474288,-295.0
2026-03-18,474288,0.0
2026-03-19,473996,-292.0
2026-03-20,522795,48799.0
2026-03-23,522206,-589.0
2026-03-24,521912,-294.0
2026-03-25,524852,2940.0
2026-03-26,533679,8827.0
2026-03-27,539561,5882.0
2026-03-30,546018,6457.0
2026-03-31,546018,0.0
2026-04-01,546018,0.0
2026-04-02,551016,4998.0
2026-04-03,553942,2926.0
2026-04-07,553056,-886.0
2026-04-08,552151,-905.0
2026-04-09,552737,586.0
2026-04-10,549787,-2950.0
2026-04-13,549198,-589.0
2026-04-14,619095,69897.0
2026-04-15,615266,-3829.0
2026-04-16,614375,-891.0
2026-04-17,613181,-1194.0
2026-04-20,611410,-1771.0
2026-04-21,611115,-295.0
2026-04-22,609348,-1767.0
2026-04-23,609348,0.0
2026-04-24,609348,0.0
2026-04-27,626952,17604.0
2026-04-28,626067,-885.0
2026-04-29,624004,-2063.0
2026-04-30,622232,-1772.0
2026-05-06,621052,-1180.0
2026-05-07,621052,0.0
2026-05-08,622160,1108.0
