date,receipt,change
2025-08-01,2600,
2025-08-04,2600,
2025-08-05,2600,0.0
2025-08-06,2600,
2025-08-07,2600,0.0
2025-08-08,3300,700.0
2025-08-11,3000,-300.0
2025-08-12,3000,0.0
2025-08-13,2900,-100.0
2025-08-14,2900,0.0
2025-08-15,2900,0.0
2025-08-18,2900,0.0
2025-08-19,2600,-300.0
2025-08-20,2300,-300.0
2025-08-21,1800,-500.0
2025-08-22,0,-1800.0
2025-09-01,200,200.0
2025-09-02,200,0.0
2025-09-03,300,100.0
2025-09-04,300,0.0
2025-09-05,300,0.0
2025-09-08,300,0.0
2025-09-09,300,0.0
2025-09-10,300,0.0
2025-09-11,300,0.0
2025-09-12,300,0.0
2025-09-15,100,-200.0
2025-09-16,100,0.0
2025-09-17,100,0.0
2025-09-18,100,0.0
2025-09-19,0,-100.0
2025-10-09,500,500.0
2025-10-10,600,100.0
2025-10-13,600,0.0
2025-10-14,600,0.0
2025-10-15,600,0.0
2025-10-16,600,0.0
2025-10-17,500,-100.0
2025-10-20,500,0.0
2025-10-21,400,-100.0
2025-10-22,100,-300.0
2025-10-23,100,0.0
2025-10-24,100,0.0
2025-10-27,100,0.0
2025-10-28,0,-100.0
2025-11-04,400,400.0
2025-11-05,400,0.0
2025-11-06,1000,600.0
2025-11-07,1000,0.0
2025-11-10,600,-400.0
2025-11-11,600,0.0
2025-11-12,600,0.0
2025-11-13,600,0.0
2025-11-14,600,0.0
2026-01-12,400,
2026-01-13,400,0.0
2026-01-14,2200,1800.0
2026-01-15,2200,0.0
2026-01-16,2200,0.0
2026-01-19,2100,-100.0
2026-01-20,2100,0.0
2026-01-21,2100,0.0
2026-01-22,1600,-500.0
2026-01-23,1600,0.0
2026-01-26,0,-1600.0
2026-02-05,700,700.0
2026-02-06,700,0.0
2026-02-09,700,0.0
2026-02-10,700,0.0
2026-02-11,500,-200.0
2026-02-12,500,0.0
2026-02-13,400,-100.0
2026-02-24,400,0.0
2026-02-25,200,-200.0
2026-02-26,100,-100.0
2026-02-27,0,-100.0
2026-03-04,900,900.0
2026-03-05,900,0.0
2026-03-06,900,0.0
2026-03-09,200,-700.0
2026-03-10,100,-100.0
2026-03-11,100,0.0
2026-03-12,300,200.0
2026-03-13,300,0.0
2026-03-16,300,0.0
2026-03-17,200,-100.0
2026-03-18,200,0.0
2026-03-19,200,0.0
2026-03-20,200,0.0
2026-03-23,0,-200.0
2026-04-13,800,800.0
2026-04-14,800,0.0
2026-04-15,800,0.0
2026-04-16,800,0.0
2026-04-17,800,0.0
2026-04-20,800,0.0
2026-04-21,100,-700.0
2026-04-22,0,-100.0
